classification	reason	file	line	column	value	context	decision	replacement
ambiguous	No deterministic value relationship	specification/appendix/commitment_program_eligibility_details_examples.md	11	171	Advance Resource Commitment	"Acme Corp runs compute workloads on Aura Web and holds an Advance Resource Commitment (cr-arc-acme-001) for a single charge period (2025-04-01). The `ProgramType` values ""Advance Resource Commitment"" and ""Zonal Resource Commitment"" are illustrative and do not correspond to a specific provider's program names."	manual_apply	`Advance Resource Commitment`
ambiguous	No deterministic value relationship	specification/appendix/commitment_program_eligibility_details_examples.md	11	205	Zonal Resource Commitment	"Acme Corp runs compute workloads on Aura Web and holds an Advance Resource Commitment (cr-arc-acme-001) for a single charge period (2025-04-01). The `ProgramType` values ""Advance Resource Commitment"" and ""Zonal Resource Commitment"" are illustrative and do not correspond to a specific provider's program names."	manual_apply	`Zonal Resource Commitment`
exclude_key	Property/key notation	specification/glossary.md	110	72	Correction	"In contrast to the broader concept of correction (lowercase), the term ""Correction"" (capitalized) refers to a specific allowed value in the [Charge Class](#datamodel.costandusage.chargeclass) column in Cost and Usage datasets. It designates [*charges*](#glossary:charge) used to correct cost or usage data from a previously [*closed billing period*](#glossary:closed-billing-period)."	manual_apply_after_review	`Correction`
exclude_key	Property/key notation	specification/datasets/contract_commitment/columns/contractcommitmentapplicability.md	36	99	*	"* ContractCommitmentApplicabilityObject.Inclusions[\*].Values MUST contain only the single string ""*"" when the wildcard is present."	manual_apply_after_review	"`""*""`"
exclude_key	Property/key notation	specification/datasets/contract_commitment/columns/contractcommitmentapplicability.md	37	99	*	"* ContractCommitmentApplicabilityObject.Exclusions[\*].Values MUST contain only the single string ""*"" when the wildcard is present."	manual_apply_after_review	"`""*""`"
value_high	Entity predicate (CapacityReservationStatus)	specification/appendix/commitment_program_eligibility_details_examples.md	17	101	Used	"1. **Used capacity** (Row 1): Compute usage consuming the reservation. CapacityReservationStatus is ""Used"". [BilledCost](#datamodel.costandusage.billedcost) and [EffectiveCost](#datamodel.costandusage.effectivecost) are both $180.00."	classified_high	`Used`
value_high	Entity predicate (CapacityReservationStatus)	specification/appendix/commitment_program_eligibility_details_examples.md	18	96	Unused	"2. **Unused capacity** (Row 2): Reserved capacity that went idle. CapacityReservationStatus is ""Unused"". BilledCost and EffectiveCost are both $70.00. Unlike *commitment discount* unused rows (where BilledCost is $0.00 because the purchase is invoiced separately), capacity reservation rows reflect the cost of reserved capacity whether consumed or not."	classified_high	`Unused`
value_high	Explicit data-value wording	specification/appendix/saas_examples/virtual_currency_pricing_model.md	12	186	tokens	"* OmniQuery offers a virtual currency pricing model for their services and requires a purchase of virtual currency in advance of usage. Their denomination of virtual currency is called ""tokens""."	classified_high	`tokens`
value_high	String example table	specification/appendix/saas_examples/billing_scenario_examples.md	10	229	Recurring	"| [Host-Based SaaS Monitoring](#appendix.examples:saas.billingscenarioexamples.host-basedsaasmonitoring:monthlyon-demandusage) | StackLens | Multiple [*services*](#glossary:service) billed on independent metrics (hosts vs. GB). ""Recurring"" for host-based charges, ""Usage-Based"" for log ingestion. No regional billing. |"	classified_high	`Recurring`
value_high	String example table	specification/appendix/saas_examples/billing_scenario_examples.md	10	265	Usage-Based	"| [Host-Based SaaS Monitoring](#appendix.examples:saas.billingscenarioexamples.host-basedsaasmonitoring:monthlyon-demandusage) | StackLens | Multiple [*services*](#glossary:service) billed on independent metrics (hosts vs. GB). ""Recurring"" for host-based charges, ""Usage-Based"" for log ingestion. No regional billing. |"	classified_high	`Usage-Based`
value_high	Entity predicate (PricingUnit)	specification/appendix/saas_examples/billing_scenario_examples.md	13	190	Subscriptions	"| [Flat-Rate SaaS Licensing](#appendix.examples:saas.billingscenarioexamples.flat-ratesaaslicensing:fixedmonthlysubscription) | CollabChat | Fixed monthly subscription where PricingUnit is ""Subscriptions"" and PricingQuantity is 1, decoupled from underlying user count. |"	classified_high	`Subscriptions`
value_high	String example table	specification/appendix/saas_examples/billing_scenario_examples.md	15	286	Usage	"| [Tiered Pricing with Committed Minimum](#appendix.examples:saas.billingscenarioexamples.tieredpricingwithcommittedminimum:emailapiplatform) | PulseMail | Plan fee as a usage-denominated *commitment discount* with Used/Unused split and overage pricing. `CommitmentDiscountCategory` = ""Usage"". Two billing periods showing under- and over-minimum scenarios. |"	classified_high	`Usage`
value_high	Entity predicate (ConsumedUnit)	specification/appendix/saas_examples/billing_scenario_examples.md	63	59	Credits	"* [ConsumedUnit](#datamodel.costandusage.consumedunit) is ""Credits"" for compute and ""TB"" for storage. The credit is the *service provider*'s unit of compute consumption."	classified_high	`Credits`
value_high	Same line as explicit value context	specification/appendix/saas_examples/billing_scenario_examples.md	63	85	TB	"* [ConsumedUnit](#datamodel.costandusage.consumedunit) is ""Credits"" for compute and ""TB"" for storage. The credit is the *service provider*'s unit of compute consumption."	classified_high	`TB`
value_high	Entity predicate (ChargeFrequency)	specification/appendix/saas_examples/billing_scenario_examples.md	64	65	Usage-Based	"* [ChargeFrequency](#datamodel.costandusage.chargefrequency) is ""Usage-Based"" for compute (metered by credit consumption) and ""Recurring"" for storage (billed per TB per month)."	classified_high	`Usage-Based`
value_high	Same line as explicit value context	specification/appendix/saas_examples/billing_scenario_examples.md	64	127	Recurring	"* [ChargeFrequency](#datamodel.costandusage.chargefrequency) is ""Usage-Based"" for compute (metered by credit consumption) and ""Recurring"" for storage (billed per TB per month)."	classified_high	`Recurring`
value_high	Entity predicate (ChargeFrequency)	specification/appendix/saas_examples/billing_scenario_examples.md	113	65	Recurring	"* [ChargeFrequency](#datamodel.costandusage.chargefrequency) is ""Recurring"" for the host-based *services* (billed per host per month regardless of utilization within the month) and ""Usage-Based"" for log ingestion (billed on actual volume consumed)."	classified_high	`Recurring`
value_high	Same line as explicit value context	specification/appendix/saas_examples/billing_scenario_examples.md	113	182	Usage-Based	"* [ChargeFrequency](#datamodel.costandusage.chargefrequency) is ""Recurring"" for the host-based *services* (billed per host per month regardless of utilization within the month) and ""Usage-Based"" for log ingestion (billed on actual volume consumed)."	classified_high	`Usage-Based`
ambiguous	No deterministic value relationship	specification/appendix/saas_examples/billing_scenario_examples.md	117	93	Management and Governance	"* All three *services* share the [ServiceCategory](#datamodel.costandusage.servicecategory) ""Management and Governance"" per the FOCUS allowed values for logging, monitoring, and observability *services*."	manual_apply	`Management and Governance`
ambiguous	No deterministic value relationship	specification/appendix/saas_examples/billing_scenario_examples.md	158	157	One-Time	"**Purchase Charge:** [ChargeCategory](#datamodel.costandusage.chargecategory) is ""Purchase"" with [ChargeFrequency](#datamodel.costandusage.chargefrequency) ""One-Time"". The full annual amount is invoiced in a single payment."	manual_apply	`One-Time`
value_high	Entity predicate (CommitmentDiscountCategory)	specification/appendix/saas_examples/billing_scenario_examples.md	165	87	Spend	"* [CommitmentDiscountCategory](#datamodel.costandusage.commitmentdiscountcategory) is ""Spend"" because the commitment is denominated in dollars, not usage units."	classified_high	`Spend`
ambiguous	No deterministic value relationship	specification/appendix/saas_examples/billing_scenario_examples.md	169	164	Committed	"**Usage Charge (April 2025):** [ChargeCategory](#datamodel.costandusage.chargecategory) is ""Usage"" with [PricingCategory](#datamodel.costandusage.pricingcategory) ""Committed"". The usage is covered by the annual purchase."	manual_apply	`Committed`
value_high	Entity predicate (CommitmentDiscountStatus)	specification/appendix/saas_examples/billing_scenario_examples.md	175	83	Used	"* [CommitmentDiscountStatus](#datamodel.costandusage.commitmentdiscountstatus) is ""Used"". All 50 seats are occupied."	classified_high	`Used`
value_high	Entity predicate (ChargeFrequency)	specification/appendix/saas_examples/billing_scenario_examples.md	231	108	Usage-Based	"* [ChargeFrequency](#datamodel.costandusage.chargefrequency) varies by resource type. Compute clusters are ""Usage-Based"" (metered hourly). Storage is ""Recurring"" (billed per GB provisioned per month regardless of access patterns). Data transfer is ""Usage-Based"" (billed on actual volume transferred)."	classified_high	`Usage-Based`
value_high	Entity predicate (ChargeFrequency)	specification/appendix/saas_examples/billing_scenario_examples.md	231	151	Recurring	"* [ChargeFrequency](#datamodel.costandusage.chargefrequency) varies by resource type. Compute clusters are ""Usage-Based"" (metered hourly). Storage is ""Recurring"" (billed per GB provisioned per month regardless of access patterns). Data transfer is ""Usage-Based"" (billed on actual volume transferred)."	classified_high	`Recurring`
value_high	Same line as explicit value context	specification/appendix/saas_examples/billing_scenario_examples.md	231	249	Usage-Based	"* [ChargeFrequency](#datamodel.costandusage.chargefrequency) varies by resource type. Compute clusters are ""Usage-Based"" (metered hourly). Storage is ""Recurring"" (billed per GB provisioned per month regardless of access patterns). Data transfer is ""Usage-Based"" (billed on actual volume transferred)."	classified_high	`Usage-Based`
value_high	Entity predicate (PricingUnit)	specification/appendix/saas_examples/billing_scenario_examples.md	278	57	Subscriptions	"* [PricingUnit](#datamodel.costandusage.pricingunit) is ""Subscriptions"" and [PricingQuantity](#datamodel.costandusage.pricingquantity) is 1. Unlike per-seat or per-unit models, the entire platform is a single billable unit."	classified_high	`Subscriptions`
value_high	Entity predicate (CommitmentDiscountCategory)	specification/appendix/saas_examples/billing_scenario_examples.md	405	87	Usage	"* [CommitmentDiscountCategory](#datamodel.costandusage.commitmentdiscountcategory) is ""Usage"" on all commitment-related rows. The plan minimum is denominated in email quantity (50,000 emails), not a dollar amount. This distinguishes it from the ""Spend"" category in the Seat-Based SaaS Subscription example."	classified_high	`Usage`
value_high	Same line as explicit value context	specification/appendix/saas_examples/billing_scenario_examples.md	405	246	Spend	"* [CommitmentDiscountCategory](#datamodel.costandusage.commitmentdiscountcategory) is ""Usage"" on all commitment-related rows. The plan minimum is denominated in email quantity (50,000 emails), not a dollar amount. This distinguishes it from the ""Spend"" category in the Seat-Based SaaS Subscription example."	classified_high	`Spend`
ambiguous	No deterministic value relationship	specification/appendix/saas_examples/billing_scenario_examples.md	406	86	Used	"* [CommitmentDiscountStatus](#datamodel.costandusage.commitmentdiscountstatus) shows ""Used"" and ""Unused"" on Usage rows. In January, the customer only consumed 30,000 of 50,000 emails, so the remaining 20,000 generate an ""Unused"" row. The Unused row has [BilledCost](#datamodel.costandusage.billedcost) of $0.00 but [EffectiveCost](#datamodel.costandusage.effectivecost) of $7.98, representing waste from the commitment."	manual_apply	`Used`
ambiguous	No deterministic value relationship	specification/appendix/saas_examples/billing_scenario_examples.md	406	97	Unused	"* [CommitmentDiscountStatus](#datamodel.costandusage.commitmentdiscountstatus) shows ""Used"" and ""Unused"" on Usage rows. In January, the customer only consumed 30,000 of 50,000 emails, so the remaining 20,000 generate an ""Unused"" row. The Unused row has [BilledCost](#datamodel.costandusage.billedcost) of $0.00 but [EffectiveCost](#datamodel.costandusage.effectivecost) of $7.98, representing waste from the commitment."	manual_apply	`Unused`
ambiguous	No deterministic value relationship	specification/appendix/saas_examples/billing_scenario_examples.md	406	221	Unused	"* [CommitmentDiscountStatus](#datamodel.costandusage.commitmentdiscountstatus) shows ""Used"" and ""Unused"" on Usage rows. In January, the customer only consumed 30,000 of 50,000 emails, so the remaining 20,000 generate an ""Unused"" row. The Unused row has [BilledCost](#datamodel.costandusage.billedcost) of $0.00 but [EffectiveCost](#datamodel.costandusage.effectivecost) of $7.98, representing waste from the commitment."	manual_apply	`Unused`
value_high	Entity predicate (PricingUnit)	specification/appendix/saas_examples/billing_scenario_examples.md	411	57	Count	"* [PricingUnit](#datamodel.costandusage.pricingunit) is ""Count"" on the Purchase row because the plan fee is a single monthly purchase, not denominated in the usage unit (emails). On Usage rows, [PricingUnit](#datamodel.costandusage.pricingunit) is ""Emails"" because those rows are priced per email."	classified_high	`Count`
value_high	Entity predicate (PricingUnit)	specification/appendix/saas_examples/billing_scenario_examples.md	411	249	Emails	"* [PricingUnit](#datamodel.costandusage.pricingunit) is ""Count"" on the Purchase row because the plan fee is a single monthly purchase, not denominated in the usage unit (emails). On Usage rows, [PricingUnit](#datamodel.costandusage.pricingunit) is ""Emails"" because those rows are priced per email."	classified_high	`Emails`
value_high	Entity predicate (ChargeFrequency)	specification/appendix/saas_examples/billing_scenario_examples.md	412	65	Recurring	"* [ChargeFrequency](#datamodel.costandusage.chargefrequency) is ""Recurring"" on the Purchase rows (the plan fee recurs monthly). On the Usage rows, [ChargeFrequency](#datamodel.costandusage.chargefrequency) is ""Usage-Based"" for both Used and Unused rows because the amounts vary based on actual email consumption each period."	classified_high	`Recurring`
value_high	Entity predicate (ChargeFrequency)	specification/appendix/saas_examples/billing_scenario_examples.md	412	210	Usage-Based	"* [ChargeFrequency](#datamodel.costandusage.chargefrequency) is ""Recurring"" on the Purchase rows (the plan fee recurs monthly). On the Usage rows, [ChargeFrequency](#datamodel.costandusage.chargefrequency) is ""Usage-Based"" for both Used and Unused rows because the amounts vary based on actual email consumption each period."	classified_high	`Usage-Based`
value_high	Linked entity predicate	specification/appendix/invoice_and_billing_period_handling.md	13	190	Issued	"Before an [*invoice is issued*](#glossary:issued-invoice), i.e., before the [Invoice Issue Status](#datamodel.invoicedetail.invoiceissuestatus) in the Invoice Detail dataset transitions to ""Issued"", data generators typically perform internal *invoice reconciliation* to ensure consistency between the invoice, the Invoice Detail dataset, and the Cost and Usage dataset."	classified_high	`Issued`
ambiguous	No deterministic value relationship	specification/appendix/correction_handling_examples/correction_handling_examples_overview.md	5	120	Open	"The examples that follow are sectioned by [Billing Period Status](#datamodel.billingperiod.billingperiodstatus) (i.e., ""Open"" or ""Closed"") and Billing Period Category (i.e., current open period, or previous open period, or closed):"	manual_apply	`Open`
ambiguous	No deterministic value relationship	specification/appendix/correction_handling_examples/correction_handling_examples_overview.md	5	130	Closed	"The examples that follow are sectioned by [Billing Period Status](#datamodel.billingperiod.billingperiodstatus) (i.e., ""Open"" or ""Closed"") and Billing Period Category (i.e., current open period, or previous open period, or closed):"	manual_apply	`Closed`
value_high	Entity predicate (ChargeCategory)	specification/appendix/correction_handling_examples/open_billing_period.md	108	52	Adjustment	"* Each correction record has ChargeCategory set to ""Adjustment"", which is the only valid value when both PricingQuantity and ChargeClass are null, due to the normative requirement that PricingQuantity must not be null when ChargeCategory is ""Usage"" or ""Purchase"" and ChargeClass is not ""Correction""."	classified_high	`Adjustment`
value_high	Entity predicate (PricingQuantity)	specification/appendix/correction_handling_examples/open_billing_period.md	108	242	Usage	"* Each correction record has ChargeCategory set to ""Adjustment"", which is the only valid value when both PricingQuantity and ChargeClass are null, due to the normative requirement that PricingQuantity must not be null when ChargeCategory is ""Usage"" or ""Purchase"" and ChargeClass is not ""Correction""."	classified_high	`Usage`
value_high	Same line as explicit value context	specification/appendix/correction_handling_examples/open_billing_period.md	108	253	Purchase	"* Each correction record has ChargeCategory set to ""Adjustment"", which is the only valid value when both PricingQuantity and ChargeClass are null, due to the normative requirement that PricingQuantity must not be null when ChargeCategory is ""Usage"" or ""Purchase"" and ChargeClass is not ""Correction""."	classified_high	`Purchase`
value_high	Entity predicate (PricingQuantity)	specification/appendix/correction_handling_examples/open_billing_period.md	108	287	Correction	"* Each correction record has ChargeCategory set to ""Adjustment"", which is the only valid value when both PricingQuantity and ChargeClass are null, due to the normative requirement that PricingQuantity must not be null when ChargeCategory is ""Usage"" or ""Purchase"" and ChargeClass is not ""Correction""."	classified_high	`Correction`
value_high	Entity predicate (ChargeCategory)	specification/appendix/correction_handling_examples/open_billing_period.md	139	51	Adjustment	"* The correction record has ChargeCategory set to ""Adjustment"", which is the only valid value when both PricingQuantity and ChargeClass are null, due to the normative requirement that PricingQuantity must not be null when ChargeCategory is ""Usage"" or ""Purchase"" and ChargeClass is not ""Correction""."	classified_high	`Adjustment`
value_high	Entity predicate (PricingQuantity)	specification/appendix/correction_handling_examples/open_billing_period.md	139	241	Usage	"* The correction record has ChargeCategory set to ""Adjustment"", which is the only valid value when both PricingQuantity and ChargeClass are null, due to the normative requirement that PricingQuantity must not be null when ChargeCategory is ""Usage"" or ""Purchase"" and ChargeClass is not ""Correction""."	classified_high	`Usage`
value_high	Same line as explicit value context	specification/appendix/correction_handling_examples/open_billing_period.md	139	252	Purchase	"* The correction record has ChargeCategory set to ""Adjustment"", which is the only valid value when both PricingQuantity and ChargeClass are null, due to the normative requirement that PricingQuantity must not be null when ChargeCategory is ""Usage"" or ""Purchase"" and ChargeClass is not ""Correction""."	classified_high	`Purchase`
value_high	Entity predicate (PricingQuantity)	specification/appendix/correction_handling_examples/open_billing_period.md	139	286	Correction	"* The correction record has ChargeCategory set to ""Adjustment"", which is the only valid value when both PricingQuantity and ChargeClass are null, due to the normative requirement that PricingQuantity must not be null when ChargeCategory is ""Usage"" or ""Purchase"" and ChargeClass is not ""Correction""."	classified_high	`Correction`
value_high	Entity predicate (ChargeClass)	specification/appendix/correction_handling_examples/closed_billing_period.md	11	116	Correction	"Corrections are applied to the open billing period rather than modifying the closed one. The ChargeClass is set to ""Correction"", and the BillingPeriodStart/End reflect the current open period (June). However, the ChargePeriodStart/End remain mapped to the original timeframe (May) to preserve the historical accuracy of when the cost was incurred."	classified_high	`Correction`
value_high	Entity predicate (ChargeClass)	specification/appendix/correction_handling_examples/closed_billing_period.md	34	46	Correction	"* Correction records have ChargeClass set to ""Correction"", indicating they reallocate cost from a previously closed billing period."	classified_high	`Correction`
value_high	Entity predicate (ChargeClass)	specification/appendix/correction_handling_examples/closed_billing_period.md	62	48	Correction	"* The correction record has ChargeClass set to ""Correction"", indicating it accounts for usage from a previously closed billing period."	classified_high	`Correction`
value_high	Entity predicate (ChargeClass)	specification/appendix/correction_handling_examples/closed_billing_period.md	86	49	Correction	"* Each correction record has ChargeClass set to ""Correction"", indicating it reconciles cost discrepancies from a previously closed billing period."	classified_high	`Correction`
value_high	Entity predicate (ChargeCategory)	specification/appendix/correction_handling_examples/closed_billing_period.md	88	52	Adjustment	"* Each correction record has ChargeCategory set to ""Adjustment"". While in this case ""Usage"" might be more precise and is permitted (since ChargeClass is ""Correction""), ""Adjustment"" was selected to denote a cost-only correction due to a rounding error."	classified_high	`Adjustment`
value_high	Same line as explicit value context	specification/appendix/correction_handling_examples/closed_billing_period.md	88	85	Usage	"* Each correction record has ChargeCategory set to ""Adjustment"". While in this case ""Usage"" might be more precise and is permitted (since ChargeClass is ""Correction""), ""Adjustment"" was selected to denote a cost-only correction due to a rounding error."	classified_high	`Usage`
value_high	Entity predicate (ChargeCategory)	specification/appendix/correction_handling_examples/closed_billing_period.md	88	154	Correction	"* Each correction record has ChargeCategory set to ""Adjustment"". While in this case ""Usage"" might be more precise and is permitted (since ChargeClass is ""Correction""), ""Adjustment"" was selected to denote a cost-only correction due to a rounding error."	classified_high	`Correction`
value_high	Same line as explicit value context	specification/appendix/correction_handling_examples/closed_billing_period.md	88	169	Adjustment	"* Each correction record has ChargeCategory set to ""Adjustment"". While in this case ""Usage"" might be more precise and is permitted (since ChargeClass is ""Correction""), ""Adjustment"" was selected to denote a cost-only correction due to a rounding error."	classified_high	`Adjustment`
value_high	Entity predicate (ChargeClass)	specification/appendix/correction_handling_examples/closed_billing_period.md	109	48	Correction	"* The correction record has ChargeClass set to ""Correction"", indicating it reconciles cost discrepancies from a previously closed billing period."	classified_high	`Correction`
value_high	Entity predicate (ChargeCategory)	specification/appendix/correction_handling_examples/closed_billing_period.md	111	51	Adjustment	"* The correction record has ChargeCategory set to ""Adjustment"". While in this case ""Usage"" might be more precise and is permitted (since ChargeClass is ""Correction""), ""Adjustment"" was selected to denote a cost-only correction due to a rounding error."	classified_high	`Adjustment`
value_high	Same line as explicit value context	specification/appendix/correction_handling_examples/closed_billing_period.md	111	84	Usage	"* The correction record has ChargeCategory set to ""Adjustment"". While in this case ""Usage"" might be more precise and is permitted (since ChargeClass is ""Correction""), ""Adjustment"" was selected to denote a cost-only correction due to a rounding error."	classified_high	`Usage`
value_high	Entity predicate (ChargeCategory)	specification/appendix/correction_handling_examples/closed_billing_period.md	111	153	Correction	"* The correction record has ChargeCategory set to ""Adjustment"". While in this case ""Usage"" might be more precise and is permitted (since ChargeClass is ""Correction""), ""Adjustment"" was selected to denote a cost-only correction due to a rounding error."	classified_high	`Correction`
value_high	Same line as explicit value context	specification/appendix/correction_handling_examples/closed_billing_period.md	111	168	Adjustment	"* The correction record has ChargeCategory set to ""Adjustment"". While in this case ""Usage"" might be more precise and is permitted (since ChargeClass is ""Correction""), ""Adjustment"" was selected to denote a cost-only correction due to a rounding error."	classified_high	`Adjustment`
value_review	Owning entity file (BillingPeriodStatus)	specification/datasets/billing_period/columns/billingperiodstatus.md	3	73	Open	"Billing Period Status represents the state of the billing period (i.e., ""Open"" or ""Closed""). This status helps FinOps practitioners determine if the [Cost and Usage](#datamodel.costandusage) and [Invoice Detail](#datamodel.invoicedetail) data for a given period is preliminary and subject to change, or if all anticipated invoices have been issued and the delivered data is finalized and ready for formal financial reporting and showback/chargeback processes."	owning_entity_review	`Open`
value_review	Owning entity file (BillingPeriodStatus)	specification/datasets/billing_period/columns/billingperiodstatus.md	3	83	Closed	"Billing Period Status represents the state of the billing period (i.e., ""Open"" or ""Closed""). This status helps FinOps practitioners determine if the [Cost and Usage](#datamodel.costandusage) and [Invoice Detail](#datamodel.invoicedetail) data for a given period is preliminary and subject to change, or if all anticipated invoices have been issued and the delivered data is finalized and ready for formal financial reporting and showback/chargeback processes."	owning_entity_review	`Closed`
value_high	Entity predicate (BillingPeriodStatus)	specification/datasets/billing_period/columns/billingperiodstatus.md	13	35	Open	"* BillingPeriodStatus MUST NOT be ""Open"" following a previous status of ""Closed"", except when explicitly requested or approved by the customer."	classified_high	`Open`
value_high	Explicit value context	specification/datasets/billing_period/columns/billingperiodstatus.md	13	73	Closed	"* BillingPeriodStatus MUST NOT be ""Open"" following a previous status of ""Closed"", except when explicitly requested or approved by the customer."	classified_high	`Closed`
value_review	Owning entity file (BillingPeriodStatus)	specification/datasets/billing_period/columns/billingperiodstatus.md	24	27	Open	"While the transition from ""Open"" to ""Closed"" typically signifies the end of a billing cycle, in scenarios such as the following, it may be necessary to provide corrections to closed billing periods:"	owning_entity_review	`Open`
value_review	Owning entity file (BillingPeriodStatus)	specification/datasets/billing_period/columns/billingperiodstatus.md	24	37	Closed	"While the transition from ""Open"" to ""Closed"" typically signifies the end of a billing cycle, in scenarios such as the following, it may be necessary to provide corrections to closed billing periods:"	owning_entity_review	`Closed`
value_review	Owning entity file (BillingPeriodStatus)	specification/datasets/billing_period/columns/billingperiodstatus.md	30	309	Closed	"Corrections to closed billing periods are generally represented in the context of a subsequent open billing period to preserve historical financial accuracy and ensure transparent tracking. Exceptionally, a previously closed billing period may be reopened to apply such corrections, but this transition from ""Closed"" to ""Open"" must be explicitly requested or approved by the customer to maintain auditability and the integrity of financial reporting."	owning_entity_review	`Closed`
value_review	Owning entity file (BillingPeriodStatus)	specification/datasets/billing_period/columns/billingperiodstatus.md	30	321	Open	"Corrections to closed billing periods are generally represented in the context of a subsequent open billing period to preserve historical financial accuracy and ensure transparent tracking. Exceptionally, a previously closed billing period may be reopened to apply such corrections, but this transition from ""Closed"" to ""Open"" must be explicitly requested or approved by the customer to maintain auditability and the integrity of financial reporting."	owning_entity_review	`Open`
value_review	Owning entity file (BillingPeriodStatus)	specification/datasets/billing_period/columns/billingperiodstatus.md	48	40	Open	"The state of the billing period (i.e., ""Open"" or ""Closed""), indicating whether the delivered data for the period is preliminary, or if all anticipated invoices have been issued and the delivered data is finalized."	owning_entity_review	`Open`
value_review	Owning entity file (BillingPeriodStatus)	specification/datasets/billing_period/columns/billingperiodstatus.md	48	50	Closed	"The state of the billing period (i.e., ""Open"" or ""Closed""), indicating whether the delivered data for the period is preliminary, or if all anticipated invoices have been issued and the delivered data is finalized."	owning_entity_review	`Closed`
ambiguous	No deterministic value relationship	specification/supported_features/commitment_program_eligibility_details.md	15	90	Flexible Spend Plan	"* Do not encode period length, payment option, or other commitment attributes (e.g., use ""Flexible Spend Plan"" rather than ""1 Year Flexible Spend Plan No Upfront"")."	manual_apply	`Flexible Spend Plan`
ambiguous	No deterministic value relationship	specification/supported_features/commitment_program_eligibility_details.md	15	124	1 Year Flexible Spend Plan No Upfront	"* Do not encode period length, payment option, or other commitment attributes (e.g., use ""Flexible Spend Plan"" rather than ""1 Year Flexible Spend Plan No Upfront"")."	manual_apply	`1 Year Flexible Spend Plan No Upfront`
ambiguous	No deterministic value relationship	specification/supported_features/commitment_program_eligibility_details.md	52	22	Usage	"The query filters to ""Usage"" charges where [CommitmentProgramEligibilityDetails](#datamodel.costandusage.commitmentprogrameligibilitydetails) is populated (the charge is eligible) and [CommitmentDiscountId](#datamodel.costandusage.commitmentdiscountid) is null (no [*commitment*](#glossary:commitment) is applied). It then expands the `CommitmentPrograms` array to aggregate eligible spend per `ProgramType`. This query uses BilledCost rather than EffectiveCost because the charges are uncovered (CommitmentDiscountId IS NULL), so BilledCost reflects the actual amount paid and the savings opportunity."	manual_apply	`Usage`
