classification	reason	file	line	column	value	context	decision	rationale
ambiguous	No deterministic value relationship	AGENTS.md	101	126	RECOMMENDED	"* **BCP-14 Keywords:** Use MUST, MUST NOT, SHOULD, SHOULD NOT, MAY (uppercase). NEVER use: ""REQUIRED"", ""SHALL"", ""SHALL NOT"", ""RECOMMENDED"", ""NOT RECOMMENDED"", ""OPTIONAL""."	skip_guidance_reviewed	Contributor guidance was reviewed separately because its render-safe edits are not manifest-only substitutions.
ambiguous	No deterministic value relationship	AGENTS.md	101	141	NOT RECOMMENDED	"* **BCP-14 Keywords:** Use MUST, MUST NOT, SHOULD, SHOULD NOT, MAY (uppercase). NEVER use: ""REQUIRED"", ""SHALL"", ""SHALL NOT"", ""RECOMMENDED"", ""NOT RECOMMENDED"", ""OPTIONAL""."	skip_guidance_reviewed	Contributor guidance was reviewed separately because its render-safe edits are not manifest-only substitutions.
ambiguous	No deterministic value relationship	AGENTS.md	101	160	OPTIONAL	"* **BCP-14 Keywords:** Use MUST, MUST NOT, SHOULD, SHOULD NOT, MAY (uppercase). NEVER use: ""REQUIRED"", ""SHALL"", ""SHALL NOT"", ""RECOMMENDED"", ""NOT RECOMMENDED"", ""OPTIONAL""."	skip_guidance_reviewed	Contributor guidance was reviewed separately because its render-safe edits are not manifest-only substitutions.
ambiguous	No deterministic value relationship	AGENTS.md	102	62	Requirements	"* **Location:** Capitalized keywords MUST NOT appear outside ""Requirements"" sections unless quoted."	skip_guidance_reviewed	Contributor guidance was reviewed separately because its render-safe edits are not manifest-only substitutions.
ambiguous	No deterministic value relationship	AGENTS.md	111	119	e.g.	"* **Inline Examples:** Any non-normative examples embedded within a requirement MUST be enclosed in parentheses using ""e.g."" (e.g., `...without lossy transformations (e.g., rounding)`)."	skip_guidance_reviewed	Contributor guidance was reviewed separately because its render-safe edits are not manifest-only substitutions.
ambiguous	No deterministic value relationship	AGENTS.md	116	70	Pricing Quantity	"* **Column/Attribute Display Names:** Normal text with spaces (e.g., ""Pricing Quantity""). These SHOULD be used in introductory or explanatory non-normative text."	skip_guidance_reviewed	Contributor guidance was reviewed separately because its render-safe edits are not manifest-only substitutions.
ambiguous	No deterministic value relationship	AGENTS.md	140	183	same as above	"* **Self-contained comments:** Every review comment or suggestion MUST include all context needed for the author to evaluate it independently. Do not reference other comments (e.g., ""same as above"" or ""see my comment on line X"")."	skip_guidance_reviewed	Contributor guidance was reviewed separately because its render-safe edits are not manifest-only substitutions.
ambiguous	No deterministic value relationship	AGENTS.md	140	202	see my comment on line X	"* **Self-contained comments:** Every review comment or suggestion MUST include all context needed for the author to evaluate it independently. Do not reference other comments (e.g., ""same as above"" or ""see my comment on line X"")."	skip_guidance_reviewed	Contributor guidance was reviewed separately because its render-safe edits are not manifest-only substitutions.
ambiguous	No deterministic value relationship	AGENTS.md	150	84	Type of Change	"PR bodies MUST complete `.github/pull_request_template.md`, including the summary, ""Type of Change"", and ""Author Checklist"" (with [AI Usage Guidelines](guidelines/contributors/ai-usage-guidelines.md) attestation)."	skip_guidance_reviewed	Contributor guidance was reviewed separately because its render-safe edits are not manifest-only substitutions.
ambiguous	No deterministic value relationship	AGENTS.md	150	106	Author Checklist	"PR bodies MUST complete `.github/pull_request_template.md`, including the summary, ""Type of Change"", and ""Author Checklist"" (with [AI Usage Guidelines](guidelines/contributors/ai-usage-guidelines.md) attestation)."	skip_guidance_reviewed	Contributor guidance was reviewed separately because its render-safe edits are not manifest-only substitutions.
value_high	Normative entity context (CostAndUsage)	CHANGELOG.md	164	366	Column Presence in Dataset	"* [`CostAndUsage`](/specification/datasets/cost_and_usage/dataset.md) and [`ContractCommitment`](/specification/datasets/contract_commitment/dataset.md): Column presence requirements relocated from individual column files to dataset-level requirements, now expressed in dataset-subject form (e.g., `CostAndUsage MUST include ColumnId when Condition`). Promotes the ""Column Presence in Dataset"" pattern from future-use to active, centralizing presence rules previously scattered across column files. The [Normative Requirements Guidelines](/guidelines/contributors/normative-requirements-guidelines.md) were updated to document the new pattern."	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	CHANGELOG.md	187	36	RECOMMENDED	"* Deprecated the normative keyword ""RECOMMENDED"" in favor of ""SHOULD"" to align with [BCP-14](https://www.rfc-editor.org/info/bcp14), which treats the two as synonyms. Improves terminology consistency without changing the conformance strength of existing requirements."	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	CHANGELOG.md	187	62	SHOULD	"* Deprecated the normative keyword ""RECOMMENDED"" in favor of ""SHOULD"" to align with [BCP-14](https://www.rfc-editor.org/info/bcp14), which treats the two as synonyms. Improves terminology consistency without changing the conformance strength of existing requirements."	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	CHANGELOG.md	476	76	Other	"* Added requirement for mapping the value to a single ServiceCategory or ""Other""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
ambiguous	No deterministic value relationship	CHANGELOG.md	477	82	Other	"* Added recommendation for mapping the value to a single ServiceSubcategory or ""Other""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
ambiguous	No deterministic value relationship	CHANGELOG.md	486	69	x_	"* Added requirement that custom properties must prefix names with ""x_""."	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	491	113	Usage	"* Added requirement that the value must be associated with a given resource or service when ChargeCategory is ""Usage"" or ""Purchase""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Same line as explicit value context	CHANGELOG.md	491	124	Purchase	"* Added requirement that the value must be associated with a given resource or service when ChargeCategory is ""Usage"" or ""Purchase""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (CommitmentDiscountStatus)	CHANGELOG.md	541	53	Unused	"* Must be null when `CommitmentDiscountStatus` is ""Unused""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeClass)	CHANGELOG.md	543	44	Correction	"* Must be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is not ""Usage""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	543	85	Usage	"* Must be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is not ""Usage""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeClass)	CHANGELOG.md	544	44	Correction	"* Must be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" and `CommitmentDiscountStatus` is ""Unused""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	544	81	Usage	"* Must be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" and `CommitmentDiscountStatus` is ""Unused""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (CommitmentDiscountStatus)	CHANGELOG.md	544	123	Unused	"* Must be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" and `CommitmentDiscountStatus` is ""Unused""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	545	42	Usage	"* May be null when `ChargeCategory` is ""Usage"" and `ChargeClass` is ""Correction""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	545	71	Correction	"* May be null when `ChargeCategory` is ""Usage"" and `ChargeClass` is ""Correction""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (CommitmentDiscountStatus)	CHANGELOG.md	547	40	Unused	"* When `CommitmentDiscountStatus` is ""Unused"", must be the difference between the used commitment discount amount and the portion of the total commitment discount purchase applicable for the charge period."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
ambiguous	No deterministic value relationship	CHANGELOG.md	549	17	Committed	"* Must not be ""Committed"" when the charge is for a commitment discount purchase."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
ambiguous	No deterministic value relationship	CHANGELOG.md	610	11	Credit	"* Added ""Credit"" value for credits and any applicable credit corrections. See added `ChargeClass` column."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
ambiguous	No deterministic value relationship	CHANGELOG.md	611	13	Usage	"* Updated ""Usage"", ""Purchase"", and ""Tax"" to include refunds/corrections. See added `ChargeClass` column."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
ambiguous	No deterministic value relationship	CHANGELOG.md	611	22	Purchase	"* Updated ""Usage"", ""Purchase"", and ""Tax"" to include refunds/corrections. See added `ChargeClass` column."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
ambiguous	No deterministic value relationship	CHANGELOG.md	611	38	Tax	"* Updated ""Usage"", ""Purchase"", and ""Tax"" to include refunds/corrections. See added `ChargeClass` column."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
ambiguous	No deterministic value relationship	CHANGELOG.md	612	13	Adjustment	"* Updated ""Adjustment"" value to exclude credits and refunds."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
ambiguous	No deterministic value relationship	CHANGELOG.md	624	72	Usage	"* Column renamed from UsageQuantity. It is now limited to ChargeType ""Usage"" rows."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	626	54	Usage	"* Column must not be null when `ChargeCategory` is ""Usage"" and `ChargeClass` is not ""Correction""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	626	87	Correction	"* Column must not be null when `ChargeCategory` is ""Usage"" and `ChargeClass` is not ""Correction""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
ambiguous	No deterministic value relationship	CHANGELOG.md	628	68	Usage	"* Column renamed from UsageUnit. It is now limited to ChargeType ""Usage"" rows."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	630	54	Usage	"* Column must not be null when `ChargeCategory` is ""Usage"" and `ChargeClass` is not ""Correction""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	630	87	Correction	"* Column must not be null when `ChargeCategory` is ""Usage"" and `ChargeClass` is not ""Correction""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
ambiguous	No deterministic value relationship	CHANGELOG.md	632	51	blend	"* Clarified that effective cost does not mix or ""blend"" costs across multiple charges."	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
value_high	Entity predicate (ChargeClass)	CHANGELOG.md	636	48	Correction	"* Must not be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" or ""Purchase""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	636	85	Usage	"* Must not be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" or ""Purchase""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Same line as explicit value context	CHANGELOG.md	636	96	Purchase	"* Must not be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" or ""Purchase""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	637	43	Tax	"* Must be null when `ChargeCategory` is ""Tax""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
ambiguous	No deterministic value relationship	CHANGELOG.md	640	13	On-Demand	"* Changed ""On-Demand"" to ""Standard""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
ambiguous	No deterministic value relationship	CHANGELOG.md	640	28	Standard	"* Changed ""On-Demand"" to ""Standard""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
ambiguous	No deterministic value relationship	CHANGELOG.md	641	13	Commitment-Based	"* Changed ""Commitment-Based"" to ""Committed""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
ambiguous	No deterministic value relationship	CHANGELOG.md	641	35	Committed	"* Changed ""Commitment-Based"" to ""Committed""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeClass)	CHANGELOG.md	642	48	Correction	"* Must not be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" or ""Purchase""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	642	85	Usage	"* Must not be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" or ""Purchase""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Same line as explicit value context	CHANGELOG.md	642	96	Purchase	"* Must not be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" or ""Purchase""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	643	43	Tax	"* Must be null when `ChargeCategory` is ""Tax""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeClass)	CHANGELOG.md	645	48	Correction	"* Must not be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" or ""Purchase""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	645	85	Usage	"* Must not be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" or ""Purchase""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Same line as explicit value context	CHANGELOG.md	645	96	Purchase	"* Must not be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" or ""Purchase""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	646	43	Tax	"* Must be null when `ChargeCategory` is ""Tax""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeClass)	CHANGELOG.md	648	48	Correction	"* Must not be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" or ""Purchase""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	648	85	Usage	"* Must not be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" or ""Purchase""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Same line as explicit value context	CHANGELOG.md	648	96	Purchase	"* Must not be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" or ""Purchase""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	649	43	Tax	"* Must be null when `ChargeCategory` is ""Tax""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
ambiguous	No deterministic value relationship	CHANGELOG.md	657	142	types	"* Column is conditional and only required when the provider supports billing based on provisioned resource instances and supports multiple ""types"" of resources."	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
value_high	Entity predicate (ChargeClass)	CHANGELOG.md	660	48	Correction	"* Must not be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" or ""Purchase""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	660	85	Usage	"* Must not be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" or ""Purchase""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Same line as explicit value context	CHANGELOG.md	660	96	Purchase	"* Must not be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" or ""Purchase""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	661	43	Tax	"* Must be null when `ChargeCategory` is ""Tax""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeClass)	CHANGELOG.md	664	48	Correction	"* Must not be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" or ""Purchase""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	664	85	Usage	"* Must not be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" or ""Purchase""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Same line as explicit value context	CHANGELOG.md	664	96	Purchase	"* Must not be null when `ChargeClass` is not ""Correction"" and `ChargeCategory` is ""Usage"" or ""Purchase""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
value_high	Entity predicate (ChargeCategory)	CHANGELOG.md	665	43	Tax	"* Must be null when `ChargeCategory` is ""Tax""."	apply_repo_review	Human-reviewed string data value in tracked Markdown prose.
ambiguous	No deterministic value relationship	CHANGELOG.md	721	11	SKU	"* Added ""SKU"" as an exception to the ""no acronyms"" rule. The display name is ""SKU"" and column ID is `Sku`."	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	CHANGELOG.md	721	40	no acronyms	"* Added ""SKU"" as an exception to the ""no acronyms"" rule. The display name is ""SKU"" and column ID is `Sku`."	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	CHANGELOG.md	721	80	SKU	"* Added ""SKU"" as an exception to the ""no acronyms"" rule. The display name is ""SKU"" and column ID is `Sku`."	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	CHANGELOG.md	767	160	1.0-preview	"This table maps the evolution of the specification, showcasing column introductions and updates from its initial version 0.5 to the comprehensive revisions in ""1.0-preview"", ""1.0"" and beyond."	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	CHANGELOG.md	767	175	1.0	"This table maps the evolution of the specification, showcasing column introductions and updates from its initial version 0.5 to the comprehensive revisions in ""1.0-preview"", ""1.0"" and beyond."	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	ERRATA.md	22	19	Allows nulls	"| **#9: Incorrect ""Allows nulls"" for PricingCurrency** | Section 3.1.41.5, line [33](https://github.com/FinOps-Open-Cost-and-Usage-Spec/FOCUS_Spec/blob/c67b95bd40e6fb43a57f74a53a615c4d6d3c118f/specification/datasets/cost_and_usage/columns/pricingcurrency.md?plain=1#L33) | Content Constraints declares PricingCurrency to allow nulls. | PricingCurrency does not allow nulls, per normative requirement. | Issue: [#2079](https://github.com/FinOps-Open-Cost-and-Usage-Spec/FOCUS_Spec/pull/2079)<br>PR: [#2052](https://github.com/FinOps-Open-Cost-and-Usage-Spec/FOCUS_Spec/pull/2052) |"	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	ERRATA.md	23	20	Allows nulls	"| **#10: Incorrect ""Allows nulls"" for PricingCurrencyEffectiveCost** | Section 3.1.43.5, line [38](https://github.com/FinOps-Open-Cost-and-Usage-Spec/FOCUS_Spec/blob/c67b95bd40e6fb43a57f74a53a615c4d6d3c118f/specification/datasets/cost_and_usage/columns/pricingcurrencyeffectivecost.md?plain=1#L38) | Content Constraints declares PricingCurrencyEffectiveCost to allow nulls. | PricingCurrencyEffectiveCost does not allow nulls, per normative requirement. | Issue: [#2079](https://github.com/FinOps-Open-Cost-and-Usage-Spec/FOCUS_Spec/pull/2079)<br>PR: [#2052](https://github.com/FinOps-Open-Cost-and-Usage-Spec/FOCUS_Spec/pull/2052) |"	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	ERRATA.md	30	29	ID	"| **#3: Inconsistent use of ""ID"" vs ""Id""** | Section 3.1.31, various lines (e.g., [74](https://github.com/FinOps-Open-Cost-and-Usage-Spec/FOCUS_Spec/blob/c67b95bd40e6fb43a57f74a53a615c4d6d3c118f/specification/datasets/cost_and_usage/columns/contractapplied.md?plain=1#L74)) | **ContractID**, **ContractCommitmentID**, and **ResourceID** | **ContractId**, **ContractCommitmentId**, and **ResourceId** | Issue: [#2048](https://github.com/FinOps-Open-Cost-and-Usage-Spec/FOCUS_Spec/pull/2048)<br>PR: [#2052](https://github.com/FinOps-Open-Cost-and-Usage-Spec/FOCUS_Spec/pull/2052) |"	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
